station_european_code,component_code,component_name,component_caption,statistics_year,statistic_shortname,statistic_name,statistic_value,statistics_percentage_valid,statistics_number_valid
IASI,12,Lead (aerosol),Pb,2006,P50,50 percentile,30,"56,438",206
IASI,12,Lead (aerosol),Pb,2006,Mean,annual mean,36,"56,438",206
IASI,12,Lead (aerosol),Pb,2006,P95,95 percentile,100,"56,438",206
IASI,12,Lead (aerosol),Pb,2006,P98,98 percentile,130,"56,438",206
IASI,12,Lead (aerosol),Pb,2006,Max,maximum,250,"56,438",206
IASI,12,Lead (aerosol),Pb,2007,P50,50 percentile,20,"47,945",175
IASI,12,Lead (aerosol),Pb,2007,Mean,annual mean,30,"47,945",175
IASI,12,Lead (aerosol),Pb,2007,P95,95 percentile,80,"47,945",175
IASI,12,Lead (aerosol),Pb,2007,P98,98 percentile,100,"47,945",175
IASI,12,Lead (aerosol),Pb,2007,Max,maximum,160,"47,945",175
IASI,12,Lead (aerosol),Pb,2008,P50,50 percentile,15,"68,852",252
IASI,12,Lead (aerosol),Pb,2008,Mean,annual mean,19,"68,852",252
IASI,12,Lead (aerosol),Pb,2008,P95,95 percentile,40,"68,852",252
